,mean_weight,std_weight,folds_in_top50,abs_mean
NOTCH2NLA,-0.005214241594518718,0.001810009424778028,1,0.005214241594518718
HEBP2,0.005141990036392548,0.0008401030532851494,0,0.005141990036392548
PLEKHA5,0.005098680292026437,0.0008141956958219017,0,0.005098680292026437
MAGEB1,0.005093834257894075,0.001808049284086317,1,0.005093834257894075
SYT5,-0.005031735222862716,0.001639485500637817,1,0.005031735222862716
XIRP2,0.005023181398532449,0.0035017282656715823,2,0.005023181398532449
KRTAP9-9,0.005020514268727494,0.0012324447702886181,0,0.005020514268727494
TMEM244,0.005008820358787727,0.0011214765219237804,2,0.005008820358787727
SPRN,-0.005004240893813103,0.0014422785640216859,1,0.005004240893813103
MTHFS,-0.004986963732644472,0.0018360204252458104,1,0.004986963732644472
TMEM158,0.0049749204652243875,0.0008392981546950643,0,0.0049749204652243875
OR51B4,0.004958273290450055,0.0017583603619155076,1,0.004958273290450055
CDH12,0.004954131304201669,0.001293068353252063,1,0.004954131304201669
OR51B5,0.004928257632961039,0.0016064717194157997,2,0.004928257632961039
MAGEA2,0.0048960285059610606,0.0038973894282959935,2,0.0048960285059610606
UNC13A,-0.004778880085092835,0.0018677867782379443,1,0.004778880085092835
PTPRR,-0.004771898575689514,0.0006462800207318847,0,0.004771898575689514
FZD9,-0.004761736984351034,0.0010076557620448336,1,0.004761736984351034
LSR,-0.004730728740789758,0.0009814726633197686,0,0.004730728740789758
IDO1,0.004723464505286814,0.0014793008671323744,0,0.004723464505286814
LTBP1,0.0047207760298085665,0.0012275965932874622,1,0.0047207760298085665
F8A1,0.004709013875682148,0.0007303488745435554,1,0.004709013875682148
SPANXD,0.004692589433095563,0.0033024041957602154,1,0.004692589433095563
AC005726.1,-0.00468527671022178,0.0010527315229919931,1,0.00468527671022178
IRX4,0.004658825740239427,0.0022353402769878495,2,0.004658825740239427
CRACDL,-0.004658816196286905,0.0006024816215634114,0,0.004658816196286905
CCDC183,-0.004649447324732094,0.0008755756929139826,1,0.004649447324732094
VGLL3,0.004636062594546112,0.0005614430186251509,0,0.004636062594546112
SLC12A5,-0.004614372266101058,0.0019124188765815935,2,0.004614372266101058
RXFP3,-0.004603115611470876,0.0008648613657845076,0,0.004603115611470876
SSX1,0.004592456327180028,0.0012504518747270558,0,0.004592456327180028
EMC6,-0.004583408232375562,0.0019112418838323384,1,0.004583408232375562
OR56A5,0.004556738583391845,0.001402524580464552,1,0.004556738583391845
ADGRG5,0.0045336991338309944,0.0012973884772575282,0,0.0045336991338309944
H2AC17,0.004533319798941223,0.0016630582651664197,2,0.004533319798941223
SOX8,-0.0045320963092423585,0.0004845618694090955,1,0.0045320963092423585
AL669918.1,0.004513273162635101,0.0019005103155346748,1,0.004513273162635101
CALCR,-0.004500623275166758,0.0012716935144470398,0,0.004500623275166758
TMPRSS15,0.004482180269035839,0.0020414391626894187,1,0.004482180269035839
KLRC2,0.004480049300508021,0.0020176474649706306,1,0.004480049300508021
PRSS3,0.004477574426884776,0.002877893166708464,1,0.004477574426884776
PITX3,0.0044732831421529055,0.0008355735186451584,1,0.0044732831421529055
BRSK1,-0.004450918364444959,0.0014273208814487503,0,0.004450918364444959
KLHL21,0.004449867574550168,0.001103199721601143,0,0.004449867574550168
ADGRG3,0.00443313060266391,0.0019533497914559785,1,0.00443313060266391
KLLN,-0.004426979236395906,0.000779712382594681,0,0.004426979236395906
GRHL3,-0.004416960079632121,0.0005465803724985106,0,0.004416960079632121
PTCHD4,-0.004410004570855829,0.00043450336394062236,0,0.004410004570855829
RFPL2,-0.004397904274973017,0.0011949401411895412,0,0.004397904274973017
SERPINB5,0.00439460114221994,0.001802664641403379,1,0.00439460114221994
LMF1,-0.004394285635327702,0.0016771447507137873,0,0.004394285635327702
MS4A8,-0.004388964643042592,0.0006373971042607256,0,0.004388964643042592
PITX1,0.0043738048620721144,0.0018290303039252697,0,0.0043738048620721144
